NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
TRA2A	197	0.116751269035533	0.477157360406091	Up	0.22	0.550615	0.063	0.0651455026455026	0.621164799440447	0.673218318438719	1	51.2425955953004
NUSAP1	195	0.174358974358974	0.384615384615385	Up	0.244	0.550615	0.011	0.0238473684210526	0.659914006360383	0.771089847079417	1	54.5061988256231
RBM22	194	0.262886597938144	0.402061855670103	Up	0.185	0.550615	0.007	0.0232569444444444	0.652702735832677	0.665268334356738	1	53.8988386327402
GPKOW	196	0.178571428571429	0.454081632653061	Up	0.191	0.550615	0.017	0.0265192307692308	0.784456908495583	0.813372272826343	1	64.995668160106
MTPAP	187	0.181818181818182	0.320855614973262	Up	0.291	0.566618811881188	0.028	0.0336490683229814	0.801881928265238	0.788551345742964	1	63.2205157420175
HLTF	192	0.171875	0.4375	Up	0.295	0.568789215686274	0.023	0.0293543046357616	0.831598592603618	0.959705364388849	1	65.1544498835679
NONO	196	0.198979591836735	0.418367346938776	Up	0.3	0.572830097087379	0.015	0.024625	0.586516257376395	-0.668542142944933	-1	45.0499985591826
GEMIN5	193	0.181347150259067	0.409326424870466	Up	0.305	0.576793269230769	0.029	0.0340272727272727	0.660550550586126	0.641193594816637	1	50.2293095424158
CSTF2T	195	0.205128205128205	0.420512820512821	Up	0.33	0.57966814159292	0.012	0.0238473684210526	0.638653791035224	0.720029896582347	1	48.080459860219
RBM15	194	0.216494845360825	0.407216494845361	Up	0.317	0.57966814159292	0.018	0.0265192307692308	0.594024568675389	0.634374044131095	1	44.6455228850165
SFPQ	188	0.175531914893617	0.356382978723404	Up	0.326	0.57966814159292	0.004	0.0229833333333333	0.600687516051164	0.580376414658268	1	45.1583439268072
HNRNPA0	189	0.243386243386243	0.317460317460317	Up	0.332	0.57966814159292	0.014	0.0239594594594595	0.582326309739905	0.539443992938838	1	43.7451535745453
TIA1	196	0.153061224489796	0.413265306122449	Up	0.322	0.57966814159292	0.057	0.060491847826087	0.563216766304704	0.592313489256125	1	42.2743666359882
MATR3	192	0.21875	0.395833333333333	Up	0.327	0.57966814159292	0.007	0.0232569444444444	0.57604141449167	0.578050428100076	1	43.2614297287796
UPF2	182	0.225274725274725	0.307692307692308	Up	0.329	0.57966814159292	0.029	0.0340272727272727	0.723605237261366	-0.710550402504788	-1	54.6188409547037
EXOSC9	193	0.155440414507772	0.393782383419689	Up	0.324	0.57966814159292	0.027	0.0330411392405063	0.6425929034218	-0.556921357976312	-1	48.3836379590224
SERBP1	181	0.276243093922652	0.331491712707182	Up	0.333	0.57966814159292	0.014	0.0239594594594595	0.799486554794045	-0.710488055133782	-1	60.4591296610259
RCC2	190	0.2	0.384210526315789	Up	0.337	0.581495614035088	0.025	0.0311387096774194	0.536046679138934	0.571282967699562	1	39.9450388785864
SUB1	195	0.138461538461538	0.394871794871795	Up	0.343	0.581659482758621	0.039	0.04334	0.616252174922447	0.761627236027827	1	46.0580011965447
HNRNPL	189	0.301587301587302	0.407407407407407	Up	0.341	0.581659482758621	0.006	0.0230531914893617	0.701322725752387	-0.674844323839675	-1	52.5643713377523
ILF3	194	0.422680412371134	0.262886597938144	Down	0.351	0.583792682926829	0.043	0.0470365168539326	0.733270370350078	-0.661699134879705	-1	54.6289175474541
CCAR1	190	0.194736842105263	0.415789473684211	Up	0.365	0.583792682926829	0.025	0.0311387096774194	0.558383480513397	0.480789027097897	1	41.3435723634543
BCLAF1	192	0.161458333333333	0.390625	Up	0.363	0.583792682926829	0.01	0.0236898734177215	0.621971547068315	-0.611467345153656	-1	46.1740625994815
PPIL4	193	0.321243523316062	0.305699481865285	Down	0.364	0.583792682926829	0.024	0.0302581699346405	0.729054424349474	-0.792192269652404	-1	54.3086517004976
TUFM	194	0.180412371134021	0.314432989690722	Up	0.362	0.583792682926829	0.004	0.0229833333333333	0.931722079280235	1.18907481792123	1	69.7043726484848
TIAL1	188	0.202127659574468	0.382978723404255	Up	0.365	0.583792682926829	0.008	0.0232569444444444	0.794658299403652	0.85452983066892	1	59.2922735506928
CCAR2	178	0.235955056179775	0.314606741573034	Up	0.359	0.583792682926829	0.005	0.0230531914893617	0.872312487752398	-0.786701162493702	-1	65.1913017634984
DDX6	187	0.235294117647059	0.368983957219251	Up	0.382	0.606092741935484	0.006	0.0230531914893617	0.695144879512131	0.691291143622815	1	48.0546191127968
IGF2BP2	193	0.170984455958549	0.378238341968912	Up	0.389	0.612276	0.014	0.0239594594594595	0.650002296969381	0.758659537575767	1	43.9329821610809
EEF2	194	0.309278350515464	0.391752577319588	Up	0.394	0.615043307086614	0.005	0.0230531914893617	0.6849210878021	-0.647012465275856	-1	45.9148670191375
MAGOH	183	0.278688524590164	0.349726775956284	Up	0.397	0.615043307086614	0.001	0.0197	0.670313697594297	-0.621986161196255	-1	44.9127252141926
PARN	187	0.192513368983957	0.315508021390374	Up	0.402	0.61793359375	0.011	0.0238473684210526	0.716800302164432	0.623541023009111	1	47.6276158648839
DNAJC21	190	0.357894736842105	0.321052631578947	Down	0.406	0.619034615384615	0.014	0.0239594594594595	0.899444616092271	-0.805998795939475	-1	59.8110913878495
